id,label,timeset,entity_type,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,eigencentrality,clustering
alexander_ver,alexander_ver,,user,4,0,4,4.0,0.0,4.0,0.0,0.0,0.0,0.0,21,0,359,0.0032306154614774314,0.1666666716337204
alexandriayen,alexandriayen,,user,2,6,8,4.0,10.0,14.0,7.0,0.2835913312693498,0.3056976502391347,30.258495099671574,4,0,311,0.0020582593597908176,0.190476194024086
alexdelooz,alexdelooz,,user,0,4,4,0.0,6.0,6.0,6.0,0.31013513513513513,0.3290849673202614,0.0,9,0,360,0.0,0.25
aliciagarza_,aliciagarza_,,user,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9,0,361,7.638721290692608E-4,0.0
altmetric,altmetric,,user,14,11,25,44.0,21.0,65.0,6.0,0.31673582295988933,0.34228529839883554,4704.784448411306,20,0,311,0.076752494492168,0.18379446864128113
am_christensen,am_christensen,,user,6,35,41,13.0,138.0,151.0,5.0,0.4420849420849421,0.4853347889374103,730.7091208430221,9,0,311,0.03615757842151782,0.1820768117904663
amacademyrome,amacademyrome,,user,2,0,2,3.0,0.0,3.0,0.0,0.0,0.0,0.0,16,0,282,0.013386716656477091,0.5
amalasuentha,amalasuentha,,user,0,2,2,0.0,2.0,2.0,6.0,0.28598130841121494,0.3019970951343497,0.0,9,0,362,0.0,0.5
amayor,amayor,,user,0,3,3,0.0,4.0,4.0,6.0,0.3068181818181818,0.32374727668845293,0.0,6,0,363,0.0,0.3333333432674408
ammit_,ammit_,,user,0,2,2,0.0,2.0,2.0,5.0,0.34253731343283583,0.3622004357298482,0.0,9,0,364,0.0,0.5
ana_strophic,ana_strophic,,user,0,5,5,0.0,10.0,10.0,6.0,0.31055480378890393,0.3308278867102395,0.0,6,0,365,0.0,0.3499999940395355
anabases_revue,anabases_revue,,user,0,6,6,0.0,14.0,14.0,7.0,0.2624356775300172,0.2801950409793548,0.0,19,0,366,0.0,0.20000000298023224
ancient_aquinum,ancient_aquinum,,user,0,2,2,0.0,2.0,2.0,8.0,0.17783804726850058,0.185537918871253,0.0,20,0,367,0.0,0.5
ancientartifact,ancientartifact,,user,0,3,3,0.0,4.0,4.0,6.0,0.31331058020477814,0.33253449527959317,0.0,9,0,368,0.0,0.3333333432674408
ancientjew,ancientjew,,user,4,8,12,5.0,14.0,19.0,6.0,0.33824613117170227,0.3627450980392161,929.8178991616062,7,0,369,0.003241321840740531,0.1515151560306549
ancientplanet,ancientplanet,,user,0,4,4,0.0,6.0,6.0,7.0,0.2332155477031802,0.24646980004122918,0.0,1,0,373,0.0,0.0833333358168602
